Reviews,Annotator 1,Annotator 2
"So far everything works very smoothly, battery is fine, no serious chips just a tiny tiny dent on the back. Only thing is the screen was obviously what was replaced because it’s very warped, but it doesn’t effect the actual display or touch so unless that would bother you it’s a non issue. another thing, if you get the 15 DO NOT do the data transfer on set up then update, the update will not install. either set it up without or do icloud, then do the update from the settings, then do your data transfer, i promise it will actually save you time in the long run",Positive,Positive
"Great quality on the iPhone 15. Battery health is at 100%. There’s no visible scratches anywhere. And all the buttons, speakers, and cameras function as expected. Very satisfied with this purchase!",Positive,Positive
"The phone is beautiful! There isn’t a scratch on it, and the battery capacity is still 93%! I’m really happy with this one :)",Positive,Positive
"I’m always a bit leery of ordering used phones, however, this one works great. No issues. As described.I realize this review is not really about the phone, but rather the seller. I was pleasantly surprised by not having any issues.",Positive,Positive
I got this phone as an upgrade from an XR I had gotten refurbished- but this 15 is almost brand new! It’s only had one cycle before and was first used in July!,Positive,Positive
Shipped VERY FAST. Needed for work ASAP. Near MINT condition and works perfectly and still well in warranty. What else could I ask for! Thank you :),Positive,Positive
Other than a tiny scratch on the screen that I can’t really see other than from a certain angle- the phone is perfect! Great value,Positive,Positive
"Very happy with the product, in excellent condition, durable battery, excellent service. 100% recommended!",Positive,Positive
I use this phone everyday no issues!! I know buying a phone off Amazon seems sketchy but they come in great condition doesn’t heat up and it’s not slow either!! Much cheaper option then Apple for the same like brand new product!! If ur thinking about it just do it!! No regrets!!!,Positive,Positive
"So far everything works very smoothly, battery is fine, no serious chips just a tiny tiny dent on the back. Only thing is the screen was obviously what was replaced because it’s very warped, but it doesn’t effect the actual display or touch so unless that would bother you it’s a non issue. another thing, if you get the 15 DO NOT do the data transfer on set up then update, the update will not install. either set it up without or do icloud, then do the update from the settings, then do your data transfer, i promise it will actually save you time in the long run",Positive,Positive
"Phone came nicely and neatly packed, I opened the case to find my phone in perfect condition, 100% battery capacity, and pretty decently charged. I have also had an incident with support which they ended up resolving in that same day and they were really friendly and helpful. Phone was also still within apple care warranty!",Positive,Positive
Mine came in flawless and the battery health is 100%. I have been buying phones through Amazon Renewed for the past 3 phones now and not one complaint. Much cheaper than buying a brand new one while still boasting almost the same condition. Highly recommend!,Positive,Positive
Bought for my wife. She absolutely loves it. Battery life is great. Way better than her Iphone 11,Positive,Positive
Received in nice packaging with a charging cable. Works perfectly.,Positive,Positive
I’m big on taking excellent care of my purchases. This protects my iPhone 16 Pro Max effectively. It’s not clunky and the clear version allows your phone color to be seen.,Positive,Positive
To take pictures and for talking to family school and doctos,Positive,Positive
100 percent battery and looks brand new,Positive,Positive
Great seller,Positive,Positive
"No flaws, works perfectly! Only thing is not in original packaging or charger.",Positive,Positive
Basically sets itself up,Positive,Positive
Arrived quickly and works fine.,Positive,Positive
The iPhone was perfect condition no scratches 100% battery life basically brand new,Positive,Positive
"Great value and great phone. Took a long time to transfer data, but once done she loves it.",Positive,Positive
It works great so far,Positive,Positive
